0.280, 0.6592
0.281, 0.6588
0.282, 0.6584
0.283, 0.6580
0.284, 0.6576
0.285, 0.6572
0.286, 0.6567
0.287, 0.6563
0.288, 0.6559
0.289, 0.6554
0.290, 0.6550
0.291, 0.6545
0.292, 0.6541
0.293, 0.6536
0.294, 0.6531
0.295, 0.6527
0.296, 0.6522
0.297, 0.6517
0.298, 0.6512
0.299, 0.6507
0.300, 0.6502
0.301, 0.6497
0.302, 0.6492
0.303, 0.6487
0.304, 0.6482
0.305, 0.6477
0.306, 0.6471
0.307, 0.6466
0.308, 0.6461
0.309, 0.6455
0.310, 0.6450
0.311, 0.6444
0.312, 0.6439
0.313, 0.6433
0.314, 0.6427
0.315, 0.6422
0.316, 0.6416
0.317, 0.6410
0.318, 0.6404
0.319, 0.6398
0.320, 0.6393
0.321, 0.6387
0.322, 0.6381
0.323, 0.6375
0.324, 0.6369
0.325, 0.6362
0.326, 0.6356
0.327, 0.6350
0.328, 0.6344
0.329, 0.6338
0.330, 0.6331
0.331, 0.6325
0.332, 0.6319
0.333, 0.6312
0.334, 0.6306
0.335, 0.6299
0.336, 0.6293
0.337, 0.6286
0.338, 0.6280
0.339, 0.6273
0.340, 0.6266
0.341, 0.6260
0.342, 0.6253
0.343, 0.6246
0.344, 0.6240
0.345, 0.6233
0.346, 0.6226
0.347, 0.6219
0.348, 0.6212
0.349, 0.6205
0.350, 0.6198
0.351, 0.6191
0.352, 0.6184
0.353, 0.6177
0.354, 0.6170
0.355, 0.6163
0.356, 0.6156
0.357, 0.6149
0.358, 0.6141
0.359, 0.6134
0.360, 0.6127
0.361, 0.6120
0.362, 0.6112
0.363, 0.6105
0.364, 0.6098
0.365, 0.6090
0.366, 0.6083
0.367, 0.6075
0.368, 0.6068
0.369, 0.6060
0.370, 0.6053
0.371, 0.6045
0.372, 0.6038
0.373, 0.6030
0.374, 0.6023
0.375, 0.6015
0.376, 0.6007
0.377, 0.6000
0.378, 0.5992
0.379, 0.5984
0.380, 0.5976
0.381, 0.5969
0.382, 0.5961
0.383, 0.5953
0.384, 0.5945
0.385, 0.5937
0.386, 0.5929
0.387, 0.5922
0.388, 0.5914
0.389, 0.5906
0.390, 0.5898
0.391, 0.5890
0.392, 0.5882
0.393, 0.5874
0.394, 0.5866
0.395, 0.5858
0.396, 0.5850
0.397, 0.5841
0.398, 0.5833
0.399, 0.5825
0.400, 0.5817
0.401, 0.5809
0.402, 0.5801
0.403, 0.5792
0.404, 0.5784
0.405, 0.5776
0.406, 0.5768
0.407, 0.5759
0.408, 0.5751
0.409, 0.5743
0.410, 0.5734
0.411, 0.5726
0.412, 0.5718
0.413, 0.5709
0.414, 0.5701
0.415, 0.5693
0.416, 0.5684
0.417, 0.5676
0.418, 0.5667
0.419, 0.5659
0.420, 0.5650
0.421, 0.5642
0.422, 0.5633
0.423, 0.5625
0.424, 0.5616
0.425, 0.5608
0.426, 0.5599
0.427, 0.5590
0.428, 0.5582
0.429, 0.5573
0.430, 0.5565
0.431, 0.5556
0.432, 0.5547
0.433, 0.5539
0.434, 0.5530
0.435, 0.5521
0.436, 0.5512
0.437, 0.5504
0.438, 0.5495
0.439, 0.5486
0.440, 0.5477
0.441, 0.5469
0.442, 0.5460
0.443, 0.5451
0.444, 0.5442
0.445, 0.5433
0.446, 0.5425
0.447, 0.5416
0.448, 0.5407
0.449, 0.5398
0.450, 0.5389
0.451, 0.5380
0.452, 0.5371
0.453, 0.5362
0.454, 0.5353
0.455, 0.5345
0.456, 0.5336
0.457, 0.5327
0.458, 0.5318
0.459, 0.5309
0.460, 0.5300
0.461, 0.5291
0.462, 0.5282
0.463, 0.5273
0.464, 0.5264
0.465, 0.5255
0.466, 0.5246
0.467, 0.5236
0.468, 0.5227
0.469, 0.5218
0.470, 0.5209
0.471, 0.5200
0.472, 0.5191
0.473, 0.5182
0.474, 0.5173
0.475, 0.5164
0.476, 0.5155
0.477, 0.5145
0.478, 0.5136
0.479, 0.5127
0.480, 0.5118
0.481, 0.5109
0.482, 0.5100
0.483, 0.5090
0.484, 0.5081
0.485, 0.5072
0.486, 0.5063
0.487, 0.5053
0.488, 0.5044
0.489, 0.5035
0.490, 0.5026
0.491, 0.5016
0.492, 0.5007
0.493, 0.4998
0.494, 0.4989
0.495, 0.4979
0.496, 0.4970
0.497, 0.4961
0.498, 0.4951
0.499, 0.4942
0.500, 0.4933
0.501, 0.4924
0.502, 0.4914
0.503, 0.4905
0.504, 0.4895
0.505, 0.4886
0.506, 0.4877
0.507, 0.4867
0.508, 0.4858
0.509, 0.4849
0.510, 0.4839
0.511, 0.4830
0.512, 0.4820
0.513, 0.4811
0.514, 0.4802
0.515, 0.4792
0.516, 0.4783
0.517, 0.4773
0.518, 0.4764
0.519, 0.4755
0.520, 0.4745
0.521, 0.4736
0.522, 0.4726
0.523, 0.4717
0.524, 0.4707
0.525, 0.4698
0.526, 0.4688
0.527, 0.4679
0.528, 0.4669
0.529, 0.4660
0.530, 0.4650
0.531, 0.4641
0.532, 0.4631
0.533, 0.4622
0.534, 0.4612
0.535, 0.4603
0.536, 0.4593
0.537, 0.4584
0.538, 0.4574
0.539, 0.4565
0.540, 0.4555
0.541, 0.4546
0.542, 0.4536
0.543, 0.4526
0.544, 0.4517
0.545, 0.4507
0.546, 0.4498
0.547, 0.4488
0.548, 0.4479
0.549, 0.4469
0.550, 0.4459
0.551, 0.4450
0.552, 0.4440
0.553, 0.4431
0.554, 0.4421
0.555, 0.4411
0.556, 0.4402
0.557, 0.4392
0.558, 0.4383
0.559, 0.4373
0.560, 0.4363
0.561, 0.4354
0.562, 0.4344
0.563, 0.4334
0.564, 0.4325
0.565, 0.4315
0.566, 0.4305
0.567, 0.4296
0.568, 0.4286
0.569, 0.4276
0.570, 0.4267
0.571, 0.4257
0.572, 0.4247
0.573, 0.4238
0.574, 0.4228
0.575, 0.4218
0.576, 0.4209
0.577, 0.4199
0.578, 0.4189
0.579, 0.4180
0.580, 0.4170
0.581, 0.4160
0.582, 0.4151
0.583, 0.4141
0.584, 0.4131
0.585, 0.4121
0.586, 0.4112
0.587, 0.4102
0.588, 0.4092
0.589, 0.4083
0.590, 0.4073
0.591, 0.4063
0.592, 0.4053
0.593, 0.4044
0.594, 0.4034
0.595, 0.4024
0.596, 0.4014
0.597, 0.4005
0.598, 0.3995
0.599, 0.3985
0.600, 0.3975
0.601, 0.3966
0.602, 0.3956
0.603, 0.3946
0.604, 0.3936
0.605, 0.3927
0.606, 0.3917
0.607, 0.3907
0.608, 0.3897
0.609, 0.3888
0.610, 0.3878
0.611, 0.3868
0.612, 0.3858
0.613, 0.3849
0.614, 0.3839
0.615, 0.3829
0.616, 0.3819
0.617, 0.3809
0.618, 0.3800
0.619, 0.3790
0.620, 0.3780
0.621, 0.3770
0.622, 0.3760
0.623, 0.3751
0.624, 0.3741
0.625, 0.3731
0.626, 0.3721
0.627, 0.3711
0.628, 0.3702
0.629, 0.3692
0.630, 0.3682
0.631, 0.3672
0.632, 0.3662
0.633, 0.3652
0.634, 0.3643
0.635, 0.3633
0.636, 0.3623
0.637, 0.3613
0.638, 0.3603
0.639, 0.3594
0.640, 0.3584
0.641, 0.3574
0.642, 0.3564
0.643, 0.3554
0.644, 0.3544
0.645, 0.3534
0.646, 0.3525
0.647, 0.3515
0.648, 0.3505
0.649, 0.3495
0.650, 0.3485
0.651, 0.3475
0.652, 0.3466
0.653, 0.3456
0.654, 0.3446
0.655, 0.3436
0.656, 0.3426
0.657, 0.3416
0.658, 0.3406
0.659, 0.3397
0.660, 0.3387
0.661, 0.3377
0.662, 0.3367
0.663, 0.3357
0.664, 0.3347
0.665, 0.3337
0.666, 0.3327
0.667, 0.3318
0.668, 0.3308
0.669, 0.3298
0.670, 0.3288
0.671, 0.3278
0.672, 0.3268
0.673, 0.3258
0.674, 0.3248
0.675, 0.3239
0.676, 0.3229
0.677, 0.3219
0.678, 0.3209
0.679, 0.3199
0.680, 0.3189
0.681, 0.3179
0.682, 0.3169
0.683, 0.3160
0.684, 0.3150
0.685, 0.3140
0.686, 0.3130
0.687, 0.3120
0.688, 0.3110
0.689, 0.3100
0.690, 0.3090
0.691, 0.3080
0.692, 0.3070
0.693, 0.3061
0.694, 0.3051
0.695, 0.3041
0.696, 0.3031
0.697, 0.3021
0.698, 0.3011
0.699, 0.3001
0.700, 0.2991
0.701, 0.2981
0.702, 0.2971
0.703, 0.2961
0.704, 0.2952
0.705, 0.2942
0.706, 0.2932
0.707, 0.2922
0.708, 0.2912
0.709, 0.2902
0.710, 0.2892
0.711, 0.2882
0.712, 0.2872
0.713, 0.2862
0.714, 0.2852
0.715, 0.2842
0.716, 0.2833
0.717, 0.2823
0.718, 0.2813
0.719, 0.2803
0.720, 0.2793
0.721, 0.2783
0.722, 0.2773
0.723, 0.2763
0.724, 0.2753
0.725, 0.2743
0.726, 0.2733
0.727, 0.2723
0.728, 0.2713
0.729, 0.2704
0.730, 0.2694
0.731, 0.2684
0.732, 0.2674
0.733, 0.2664
0.734, 0.2654
0.735, 0.2644
0.736, 0.2634
0.737, 0.2624
0.738, 0.2614
0.739, 0.2604
0.740, 0.2594
0.741, 0.2584
0.742, 0.2574
0.743, 0.2564
0.744, 0.2554
0.745, 0.2545
0.746, 0.2535
0.747, 0.2525
0.748, 0.2515
0.749, 0.2505
0.750, 0.2495
0.751, 0.2485
0.752, 0.2475
0.753, 0.2465
0.754, 0.2455
0.755, 0.2445
0.756, 0.2435
0.757, 0.2425
0.758, 0.2415
0.759, 0.2405
0.760, 0.2395
0.761, 0.2385
0.762, 0.2375
0.763, 0.2365
0.764, 0.2356
0.765, 0.2346
0.766, 0.2336
0.767, 0.2326
0.768, 0.2316
0.769, 0.2306
0.770, 0.2296
0.771, 0.2286
0.772, 0.2276
0.773, 0.2266
0.774, 0.2256
0.775, 0.2246
0.776, 0.2236
0.777, 0.2226
0.778, 0.2216
0.779, 0.2206
0.780, 0.2196
0.781, 0.2186
0.782, 0.2176
0.783, 0.2166
0.784, 0.2156
0.785, 0.2146
0.786, 0.2136
0.787, 0.2127
0.788, 0.2117
0.789, 0.2107
0.790, 0.2097
0.791, 0.2087
0.792, 0.2077
0.793, 0.2067
0.794, 0.2057
0.795, 0.2047
0.796, 0.2037
0.797, 0.2027
0.798, 0.2017
0.799, 0.2007
0.800, 0.1997
0.801, 0.1987
0.802, 0.1977
0.803, 0.1967
0.804, 0.1957
0.805, 0.1947
0.806, 0.1937
0.807, 0.1927
0.808, 0.1917
0.809, 0.1907
0.810, 0.1897
0.811, 0.1887
0.812, 0.1877
0.813, 0.1867
0.814, 0.1857
0.815, 0.1847
0.816, 0.1838
0.817, 0.1828
0.818, 0.1818
0.819, 0.1808
0.820, 0.1798
0.821, 0.1788
0.822, 0.1778
0.823, 0.1768
0.824, 0.1758
0.825, 0.1748
0.826, 0.1738
0.827, 0.1728
0.828, 0.1718
0.829, 0.1708
0.830, 0.1698
0.831, 0.1688
0.832, 0.1678
0.833, 0.1668
0.834, 0.1658
0.835, 0.1648
0.836, 0.1638
0.837, 0.1628
0.838, 0.1618
0.839, 0.1608
0.840, 0.1598
0.841, 0.1588
0.842, 0.1578
0.843, 0.1568
0.844, 0.1558
0.845, 0.1548
0.846, 0.1538
0.847, 0.1528
0.848, 0.1518
0.849, 0.1508
0.850, 0.1498
0.851, 0.1488
0.852, 0.1478
0.853, 0.1468
0.854, 0.1458
0.855, 0.1448
0.856, 0.1438
0.857, 0.1428
0.858, 0.1419
0.859, 0.1409
0.860, 0.1399
0.861, 0.1389
0.862, 0.1379
0.863, 0.1369
0.864, 0.1359
0.865, 0.1349
0.866, 0.1339
0.867, 0.1329
0.868, 0.1319
0.869, 0.1309
0.870, 0.1299
0.871, 0.1289
0.872, 0.1279
0.873, 0.1269
0.874, 0.1259
0.875, 0.1249
0.876, 0.1239
0.877, 0.1229
0.878, 0.1219
0.879, 0.1209
0.880, 0.1199
0.881, 0.1189
0.882, 0.1179
0.883, 0.1169
0.884, 0.1159
0.885, 0.1149
0.886, 0.1139
0.887, 0.1129
0.888, 0.1119
0.889, 0.1109
0.890, 0.1099
0.891, 0.1089
0.892, 0.1079
0.893, 0.1069
0.894, 0.1059
0.895, 0.1049
0.896, 0.1039
0.897, 0.1029
0.898, 0.1019
0.899, 0.1009
0.900, 0.0999
0.901, 0.0989
0.902, 0.0979
0.903, 0.0969
0.904, 0.0959
0.905, 0.0949
0.906, 0.0939
0.907, 0.0929
0.908, 0.0919
0.909, 0.0909
0.910, 0.0899
0.911, 0.0889
0.912, 0.0879
0.913, 0.0869
0.914, 0.0859
0.915, 0.0849
0.916, 0.0839
0.917, 0.0829
0.918, 0.0819
0.919, 0.0809
0.920, 0.0799
0.921, 0.0789
0.922, 0.0779
0.923, 0.0769
0.924, 0.0759
0.925, 0.0749
0.926, 0.0739
0.927, 0.0729
0.928, 0.0719
0.929, 0.0709
0.930, 0.0700
0.931, 0.0690
0.932, 0.0680
0.933, 0.0670
0.934, 0.0660
0.935, 0.0650
0.936, 0.0640
0.937, 0.0630
0.938, 0.0620
0.939, 0.0610
0.940, 0.0600
0.941, 0.0590
